	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
1.448000E0	2.896000E3	2.339999E1	8.913947E0	2.504032E1	2.085375E1	3.516687E2	1.127758E2	5.590134E1
1.452000E0	2.904000E3	2.313282E1	9.436644E0	2.498355E1	2.219218E1	3.291420E2	1.125086E2	5.537864E1
1.456000E0	2.912000E3	2.307003E1	1.002486E1	2.515401E1	2.348688E1	3.582465E2	1.124458E2	5.479043E1
1.460000E0	2.920000E3	2.279768E1	1.065891E1	2.516638E1	2.505815E1	3.898493E2	1.121735E2	5.415637E1
1.464000E0	2.928000E3	2.240625E1	1.122299E1	2.505984E1	2.660568E1	3.802834E2	1.117820E2	5.359230E1
1.468000E0	2.936000E3	2.223615E1	1.187321E1	2.520752E1	2.810042E1	3.633767E2	1.116119E2	5.294208E1
1.472000E0	2.944000E3	2.192551E1	1.241127E1	2.519459E1	2.951269E1	3.725503E2	1.113013E2	5.240402E1
1.476000E0	2.952000E3	2.174449E1	1.310719E1	2.538939E1	3.108082E1	3.791953E2	1.111203E2	5.170810E1
1.480000E0	2.960000E3	2.130395E1	1.359630E1	2.527287E1	3.254625E1	3.634572E2	1.106797E2	5.121898E1
1.484000E0	2.968000E3	2.101359E1	1.416770E1	2.534353E1	3.398848E1	3.524518E2	1.103894E2	5.064759E1
1.488000E0	2.976000E3	2.068538E1	1.468179E1	2.536612E1	3.536587E1	3.790672E2	1.100612E2	5.013349E1
1.492000E0	2.984000E3	2.021568E1	1.524524E1	2.531978E1	3.702101E1	4.240526E2	1.095915E2	4.957005E1
1.496000E0	2.992000E3	1.986109E1	1.594494E1	2.546967E1	3.875829E1	4.307682E2	1.092369E2	4.887035E1
1.500000E0	3.000000E3	1.932173E1	1.648317E1	2.539733E1	4.046716E1	4.087998E2	1.086975E2	4.833212E1
1.504000E0	3.008000E3	1.891933E1	1.705220E1	2.546995E1	4.202869E1	3.810324E2	1.082951E2	4.776309E1
1.508000E0	3.016000E3	1.850412E1	1.756922E1	2.551627E1	4.351542E1	3.874345E2	1.078799E2	4.724607E1
1.512000E0	3.024000E3	1.803396E1	1.811482E1	2.556111E1	4.512816E1	3.867858E2	1.074098E2	4.670047E1
1.516000E0	3.032000E3	1.758342E1	1.860026E1	2.559583E1	4.660971E1	4.014498E2	1.069592E2	4.621503E1
1.520000E0	3.040000E3	1.703897E1	1.915087E1	2.563362E1	4.833976E1	4.113902E2	1.064148E2	4.566442E1
1.524000E0	3.048000E3	1.651715E1	1.961532E1	2.564327E1	4.990083E1	4.060089E2	1.058929E2	4.519996E1
1.528000E0	3.056000E3	1.596825E1	2.013814E1	2.570077E1	5.158783E1	4.088387E2	1.053440E2	4.467715E1
1.532000E0	3.064000E3	1.542715E1	2.060056E1	2.573674E1	5.317154E1	4.253263E2	1.048029E2	4.421473E1
1.536000E0	3.072000E3	1.477811E1	2.109783E1	2.575871E1	5.499044E1	4.522256E2	1.041539E2	4.371745E1
1.540000E0	3.080000E3	1.410597E1	2.154744E1	2.575404E1	5.678934E1	4.457612E2	1.034818E2	4.326785E1
1.544000E0	3.088000E3	1.346691E1	2.202475E1	2.581564E1	5.855653E1	4.433319E2	1.028427E2	4.279053E1
1.548000E0	3.096000E3	1.279196E1	2.245947E1	2.584690E1	6.033600E1	4.778537E2	1.021678E2	4.235582E1
1.552000E0	3.104000E3	1.201024E1	2.295333E1	2.590562E1	6.237936E1	4.611115E2	1.013860E2	4.186196E1
1.556000E0	3.112000E3	1.137892E1	2.335599E1	2.598042E1	6.402489E1	4.595525E2	1.007547E2	4.145930E1
1.560000E0	3.120000E3	1.057484E1	2.381385E1	2.605623E1	6.605578E1	5.092052E2	9.995064E1	4.100143E1
1.564000E0	3.128000E3	9.712550E0	2.415894E1	2.603820E1	6.809853E1	4.933000E2	9.908835E1	4.065635E1
1.568000E0	3.136000E3	8.940325E0	2.456625E1	2.614250E1	7.000218E1	4.633079E2	9.831612E1	4.024903E1
1.572000E0	3.144000E3	8.184298E0	2.490000E1	2.621054E1	7.180499E1	4.404917E2	9.756009E1	3.991529E1
1.576000E0	3.152000E3	7.449542E0	2.519139E1	2.626979E1	7.352612E1	4.823463E2	9.682534E1	3.962390E1
