	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
3.748000E0	7.496000E3	-2.757496E1	1.063464E1	2.955459E1	1.589102E2	1.084891E3	6.689638E1	5.479211E1
3.752000E0	7.504000E3	-2.834183E1	8.502466E0	2.958971E1	1.633009E2	1.084573E3	6.612951E1	5.692429E1
3.756000E0	7.512000E3	-2.908752E1	6.402337E0	2.978379E1	1.675868E2	1.082459E3	6.538381E1	5.902441E1
3.760000E0	7.520000E3	-2.961023E1	4.182223E0	2.990413E1	1.719606E2	1.074131E3	6.486111E1	6.124453E1
3.764000E0	7.528000E3	-2.990497E1	1.996853E0	2.997157E1	1.761798E2	1.068154E3	6.456637E1	6.342990E1
3.768000E0	7.536000E3	-2.985392E1	-2.635613E-1	2.985509E1	1.805058E2	1.111405E3	6.461742E1	6.569031E1
3.772000E0	7.544000E3	-2.977249E1	-2.641979E0	2.988948E1	1.850711E2	1.094958E3	6.469885E1	6.806873E1
3.776000E0	7.552000E3	-2.949753E1	-4.812158E0	2.988747E1	1.892655E2	1.058489E3	6.497381E1	7.023891E1
3.780000E0	7.560000E3	-2.913013E1	-7.014497E0	2.996277E1	1.935390E2	1.088226E3	6.534121E1	7.244125E1
3.784000E0	7.568000E3	-2.852342E1	-9.252018E0	2.998641E1	1.979713E2	1.140746E3	6.594792E1	7.467877E1
3.788000E0	7.576000E3	-2.772711E1	-1.157859E1	3.004757E1	2.026650E2	1.152276E3	6.674423E1	7.700534E1
3.792000E0	7.584000E3	-2.677396E1	-1.375374E1	3.010000E1	2.071895E2	1.127019E3	6.769738E1	7.918049E1
3.796000E0	7.592000E3	-2.557351E1	-1.578289E1	3.005169E1	2.116811E2	1.115045E3	6.889782E1	8.120964E1
3.800000E0	7.600000E3	-2.432867E1	-1.774718E1	3.011389E1	2.161099E2	1.128099E3	7.014267E1	8.317393E1
3.804000E0	7.608000E3	-2.281935E1	-1.963183E1	3.010202E1	2.207059E2	1.149122E3	7.165199E1	8.505859E1
3.808000E0	7.616000E3	-2.117694E1	-2.140199E1	3.010826E1	2.253028E2	1.143747E3	7.329440E1	8.682874E1
3.812000E0	7.624000E3	-1.942481E1	-2.303169E1	3.012942E1	2.298559E2	1.142385E3	7.504653E1	8.845844E1
