	mass_A
t	frame	ω	x	y	r	θ	pixelx	pixely
1.400000E0	2.800000E3	5.991522E2	8.276043E0	-2.708941E1	2.832541E1	2.869884E2	7.778456E1	3.739544E1
1.404000E0	2.808000E3	6.834052E2	9.577475E0	-2.674157E1	2.840492E1	2.897049E2	7.648313E1	3.774328E1
1.408000E0	2.816000E3	6.422659E2	1.086104E1	-2.627847E1	2.843449E1	2.924556E2	7.519956E1	3.820638E1
1.412000E0	2.824000E3	6.054113E2	1.196271E1	-2.583865E1	2.847354E1	2.948431E2	7.409789E1	3.864620E1
1.416000E0	2.832000E3	6.504801E2	1.301937E1	-2.522577E1	2.838738E1	2.972989E2	7.304124E1	3.925908E1
1.420000E0	2.840000E3	6.220682E2	1.426966E1	-2.466911E1	2.849892E1	3.000469E2	7.179094E1	3.981574E1
1.424000E0	2.848000E3	6.085687E2	1.519926E1	-2.406570E1	2.846358E1	3.022754E2	7.086134E1	4.041915E1
1.428000E0	2.856000E3	6.324641E2	1.629912E1	-2.335081E1	2.847668E1	3.049155E2	6.976149E1	4.113404E1
1.432000E0	2.864000E3	6.466839E2	1.725944E1	-2.262745E1	2.845856E1	3.073351E2	6.880117E1	4.185740E1
1.436000E0	2.872000E3	6.950961E2	1.826254E1	-2.169597E1	2.835905E1	3.100889E2	6.779806E1	4.278888E1
1.440000E0	2.880000E3	6.967355E2	1.926772E1	-2.073750E1	2.830704E1	3.128959E2	6.679289E1	4.374735E1
1.444000E0	2.888000E3	7.139557E2	2.018438E1	-1.972270E1	2.822046E1	3.156628E2	6.587622E1	4.476215E1
1.448000E0	2.896000E3	7.383914E2	2.116970E1	-1.865864E1	2.821881E1	3.186076E2	6.489090E1	4.582620E1
1.452000E0	2.904000E3	7.265814E2	2.208940E1	-1.752671E1	2.819800E1	3.215700E2	6.397121E1	4.695814E1
1.456000E0	2.912000E3	7.106907E2	2.296491E1	-1.642901E1	2.823649E1	3.244202E2	6.309570E1	4.805584E1
