	mass_A
t	frame	x	y	r	ω	pixelx	pixely
6.619400E1	1.323880E5	-2.080523E1	1.970299E1	2.865424E1	1.304736E3	6.510560E1	4.531612E1
6.619600E1	1.323920E5	-2.168854E1	1.873202E1	2.865800E1	1.328864E3	6.422229E1	4.628709E1
6.619800E1	1.323960E5	-2.254178E1	1.769147E1	2.865519E1	1.342645E3	6.336905E1	4.732764E1
6.620000E1	1.324000E5	-2.338507E1	1.664720E1	2.870524E1	1.329931E3	6.252575E1	4.837190E1
6.620200E1	1.324040E5	-2.420137E1	1.560040E1	2.879373E1	1.352457E3	6.170946E1	4.941871E1
6.620400E1	1.324080E5	-2.489138E1	1.439203E1	2.875258E1	1.288238E3	6.101945E1	5.062708E1
6.620600E1	1.324120E5	-2.540732E1	1.331269E1	2.868379E1	1.226813E3	6.050351E1	5.170642E1
6.620800E1	1.324160E5	-2.589271E1	1.214500E1	2.859953E1	1.337296E3	6.001812E1	5.287411E1
6.621000E1	1.324200E5	-2.633058E1	1.080112E1	2.845986E1	1.420644E3	5.958025E1	5.421799E1
6.621200E1	1.324240E5	-2.680356E1	9.463421E0	2.842511E1	1.262878E3	5.910727E1	5.555569E1
6.621400E1	1.324280E5	-2.710390E1	8.417286E0	2.838084E1	1.246809E3	5.880693E1	5.660182E1
6.621600E1	1.324320E5	-2.749915E1	7.090850E0	2.839865E1	1.434832E3	5.841168E1	5.792826E1
6.621800E1	1.324360E5	-2.771367E1	5.645049E0	2.828275E1	1.381307E3	5.819716E1	5.937406E1
6.622000E1	1.324400E5	-2.784463E1	4.377244E0	2.818659E1	1.280860E3	5.806620E1	6.064186E1
6.622200E1	1.324440E5	-2.784106E1	3.117827E0	2.801509E1	1.377455E3	5.806977E1	6.190128E1
6.622400E1	1.324480E5	-2.787805E1	1.668029E0	2.792790E1	1.387292E3	5.803278E1	6.335108E1
6.622600E1	1.324520E5	-2.783264E1	4.083548E-1	2.783563E1	1.245333E3	5.807819E1	6.461075E1
6.622800E1	1.324560E5	-2.765605E1	-7.518437E-1	2.766627E1	1.393883E3	5.825477E1	6.577095E1
6.623000E1	1.324600E5	-2.763578E1	-2.289053E0	2.773042E1	1.408025E3	5.827504E1	6.730816E1
6.623200E1	1.324640E5	-2.750223E1	-3.469138E0	2.772017E1	1.268689E3	5.840859E1	6.848825E1
6.623400E1	1.324680E5	-2.720913E1	-4.704585E0	2.761285E1	1.456782E3	5.870170E1	6.972369E1
